"Sample_ID"	"ACVRL1"	"AR"	"ARID1A"	"ASNS"	"ATM"	"AXL"	"BAX"	"BCL2"	"BCL2A1"	"BID"	"BRAF"	"BRCA2"	"CDK1"	"DUSP4"	"DVL3"	"EEF2"	"EEF2K"	"EGFR"	"EIF4E"	"ENY2"	"ERCC1"	"ERCC5"	"ETS1"	"FASN"	"FOXM1"	"G6PD"	"GAB2"	"GAPDH"	"GATA3"	"INPP4B"	"IRF1"	"IRS1"	"JAK2"	"LCK"	"MSH2"	"MTOR"	"MYH11"	"NF2"	"NOTCH1"	"NRAS"	"PARP1"	"PCNA"	"PDCD4"	"PDK1"	"PEA15"	"PRDX1"	"PREX1"	"PTEN"	"RAD50"	"RAD51"	"RICTOR"	"Sample_ID.1"	"SLC1A5"	"SMAD1"	"SMAD3"	"SMAD4"	"SRC"	"SYK"	"TAZ"	"TFRC"	"TSC1"	"XBP1"	"XRCC1"
"TCGA-61-2104-01A"	0.23827	0.18165	0.0075865	0.64647	1.218	0.2293	-0.13234	-0.0017837	-0.11524	-0.12148	0.081209	-0.21487	-0.34347	-0.064514	0.1804	-0.83929	1.3541	-0.21956	-0.080665	-0.089009	-0.17104	0.55784	-0.55896	-0.9375	0.24722	0.20051	1.2711	-1.4327	0.0075046	-0.57902	-0.01084	-0.33312	-0.11211	0.46107	0.04491	0.23205	-0.76514	-0.0022454	-0.17691	0.23821	-0.074823	-0.5058	0.56484	0.077135	0.0080851	0.15525	-0.1542	0.68736	0.13273	-0.25366	0.10685	"TCGA-61-2104-01A"	-0.26669	-0.43172	-0.52469	-0.23141	-0.55467	1.1449	-0.13226	-0.93821	-0.12618	-0.16665	-0.21495
"TCGA-24-2271-01A"	0.17057	-0.13527	-0.1526	0.036146	0.71156	0.2351	-0.10667	-0.11977	0.35979	0.12384	-0.26814	-0.15388	-0.3715	-0.27932	0.76157	-0.80485	0.70198	-0.056797	-0.25096	-0.20701	-0.15287	0.22973	-0.13632	-0.89002	-0.26097	-0.15701	0.73956	-0.82554	-0.15109	0.27396	0.48753	0.21793	-0.064511	0.14139	-0.22648	-0.086521	-0.068293	-0.12166	-0.10817	-0.050388	-0.21422	-0.31225	0.64831	-0.15618	2.2404	0.47083	-0.13189	0.777	0.12535	-0.23011	-0.31187	"TCGA-24-2271-01A"	0.15165	0.063741	-0.1083	-0.078266	-0.22345	1.9762	0.24683	0.56014	0.084494	0.14499	-0.031637
"TCGA-24-2298-01A"	0.16397	0.3464	0.033956	0.10296	-0.23723	0.27499	-0.30318	-0.51654	0.19615	0.27973	-0.41295	-0.18966	-0.15314	-0.42909	0.15844	-1.5827	-0.38554	-0.27609	-0.28397	-0.61479	0.1889	-0.097045	0.7174	-1.5556	-0.27617	-0.094832	0.59836	-0.49068	-0.12771	1.1269	0.13989	0.2661	-0.45303	0.16323	-0.3229	-0.22181	1.3756	-0.43976	-0.17528	-0.080417	-0.95354	-0.40022	0.33394	-0.212	0.06572	0.28248	-0.41685	0.15583	-0.26007	-0.065204	0.1299	"TCGA-24-2298-01A"	-0.134	0.14483	-0.11135	-0.11654	-0.45437	-0.089096	0.12032	-1.0344	0.69952	0.45259	-0.42575
"TCGA-25-2404-01A"	-0.15089	0.39366	0.46454	0.3268	0.57747	0.10404	-0.38916	-0.60354	-0.12045	-0.097764	0.081182	-0.12408	-0.12771	-0.50723	0.68982	-1.024	-0.23404	-0.35171	-0.067771	0.41999	-0.091741	-0.35866	-0.53442	-0.80701	-0.06328	0.059036	1.6756	-2.0069	-0.57481	0.22368	-0.074971	-0.0053361	-0.25883	-0.37116	0.0080471	0.089834	2.2359	0.17687	-0.10676	-0.21139	-0.056085	-0.32706	0.60151	-0.20176	-0.088103	0.021146	-0.23182	0.71273	0.093774	-0.24664	0.67792	"TCGA-25-2404-01A"	0.68951	0.2132	-0.045802	-0.016512	-0.2157	0.32785	0.055683	0.57766	0.35647	0.023583	-0.049764
"TCGA-13-0720-01A"	0.13722	-0.15802	0.10455	1.4336	0.54948	-0.36782	-0.32554	-0.38737	0.13576	-0.044424	-0.3635	-0.14063	-0.27112	-0.080826	0.40559	-0.51865	0.25012	-0.35615	-0.73166	0.7596	-0.13951	0.69775	-0.75515	-0.91833	-0.35687	-0.3542	1.2348	0.03612	-0.2399	0.11067	0.33	-0.44024	-0.052422	0.43782	0.4987	0.53698	-1.1322	0.1099	-0.41916	-0.22394	-0.46611	-0.049912	1.6375	-0.32272	0.357	0.94518	-0.64015	-1.7187	0.51206	-0.30955	-0.35916	"TCGA-13-0720-01A"	0.77748	0.21577	-0.15978	-0.13494	-1.0826	1.4327	-0.38805	-0.78164	0.51094	-0.12737	-0.14952
"TCGA-24-0982-01A"	-0.034687	0.8338	0.1247	-0.15441	0.46038	-0.11742	-0.48291	-0.62463	0.1021	0.18797	-0.59455	-0.10068	0.1632	-0.55283	0.11301	-0.94737	0.18644	-0.2777	-0.12528	0.24382	0.0095746	-0.2302	-0.33306	-0.94688	0.77174	-0.071714	0.69081	-0.90769	-0.30005	0.28888	-0.0067185	0.04441	-0.40831	-0.50197	0.29787	0.29319	2.3154	-0.42105	-0.15328	-0.043632	0.37339	-0.35292	1.2325	0.013048	0.0054464	0.094957	-0.50106	-0.1235	-0.24126	-0.094153	0.84669	"TCGA-24-0982-01A"	-0.029692	0.19766	-0.4265	-0.073668	-0.33866	0.45963	0.44935	-0.74869	0.68666	0.27354	-0.25379
"TCGA-04-1362-01A"	-0.068507	-0.025687	-0.12724	-0.066163	0.92955	-0.080128	-0.39551	-0.68948	-0.20831	-0.058495	-0.37961	-0.27549	-0.17274	-0.32843	0.55717	-0.95373	0.047272	-0.3092	-0.41991	0.37326	-0.081781	-0.20727	-0.31436	-1.3504	0.25627	-0.19149	1.209	-1.2023	-0.19153	-0.27699	-0.24105	-0.5682	-0.26255	-0.11524	-0.015134	0.47935	-1.0569	0.30274	-0.36905	-0.12771	-0.11407	-0.15056	1.118	-0.22051	-0.12677	-0.16399	0.064375	0.044991	0.27346	-0.20179	0.11653	"TCGA-04-1362-01A"	0.15658	-0.0582	0.063182	-0.17958	-0.18895	1.0942	0.0001618	-1.2332	0.71389	-0.033522	-0.096115
"TCGA-13-0725-01A"	0.041023	0.4661	-0.55897	0.38272	1.0506	0.31291	0.18099	-0.019228	0.028774	0.12475	-0.12347	-0.18079	0.093064	-0.56033	-0.094218	-0.34423	0.35165	-0.31403	-0.47977	0.21178	0.31557	-0.92336	-0.22282	-0.82563	0.48707	0.25034	0.69844	1.0349	-0.26725	0.043412	-0.17764	-0.017703	-0.30404	0.32598	0.38244	0.17361	-0.23169	-0.31411	-0.061317	-0.12971	-0.2468	0.64361	-0.68942	0.0017157	1.0276	0.52134	0.36375	-0.43939	-0.090727	0.16482	-0.37743	"TCGA-13-0725-01A"	0.13565	-0.18161	-0.26158	0.030788	-0.57105	2.1083	-0.12672	-1.0117	1.137	0.18905	-0.051206
"TCGA-23-1111-01A"	-0.10218	0.52445	0.25054	-0.47689	0.56944	-0.089032	-0.19726	-0.52661	0.063026	-0.085229	0.16338	-0.35092	-0.17122	-0.53391	0.040628	-1.4332	0.23389	0.17542	-0.43937	0.0075738	0.13634	-0.010059	-0.38603	-1.3347	-0.19938	-0.09285	0.80928	0.49582	-0.38952	-0.12612	0.12913	0.31224	-0.39862	-0.64306	-0.19937	0.10786	-0.34695	0.092883	-0.48038	-0.3468	-1.0554	-0.28226	1.0818	-0.28193	-0.00018892	-0.097426	0.13845	0.53903	0.23998	-0.39335	0.9056	"TCGA-23-1111-01A"	0.11099	-0.19964	-0.10729	-0.17397	-0.36536	0.77143	-0.13834	-0.41934	0.33315	0.011466	-0.021263
"TCGA-04-1343-01A"	0.24048	-0.56471	0.075592	0.47302	1.5038	0.11713	-0.12515	-0.63646	-0.083375	-0.038738	-0.25499	-0.141	-0.066016	-0.14074	0.36298	-0.82542	0.54397	-0.24865	-0.18834	-0.1133	-0.032762	-0.36183	-0.082027	-1.3846	-0.0037371	0.051489	0.9588	-0.71809	-0.2949	-0.32852	-0.060811	-0.28005	-0.15761	-0.31987	0.19864	0.088406	-0.4403	-0.20628	-0.25238	0.02857	-0.024517	-0.26118	1.0705	-0.20974	-0.096634	0.10001	0.11997	-0.47845	0.33249	-0.3381	-0.24559	"TCGA-04-1343-01A"	-0.12939	0.0046756	-0.2681	-0.22567	-0.47344	0.52764	-0.069184	-1.17	0.8156	-0.039753	0.33054
"TCGA-13-1409-01A"	-0.1638	1.9182	0.055607	-0.30014	0.90454	-0.078822	-0.41442	-0.13087	-0.13368	0.060911	0.052744	-0.16262	-0.40799	-0.32253	0.24001	-0.77352	0.57215	-0.43379	-0.35288	0.30615	0.17033	0.64334	-0.44951	-1.6182	-0.16541	-0.048333	0.7288	2.4305	-0.28102	0.76012	0.0027169	0.20006	-0.4119	-0.64507	0.52924	0.32694	-0.23552	-0.57988	-0.30209	-0.064191	0.13543	-0.12993	1.0316	-0.065244	0.3962	0.22791	-0.63327	1.3027	0.30846	-0.4375	0.55595	"TCGA-13-1409-01A"	-0.98768	0.06527	-0.30184	-0.082909	-0.77917	1.4132	-0.098484	0.292	-0.096496	0.3626	0.48589
"TCGA-13-0886-01A"	0.094229	-0.50709	-0.4351	1.7578	0.58398	0.41376	0.051017	0.020521	0.3692	-0.060379	-0.72034	-0.22107	-0.00076734	-0.5389	0.11058	-0.49897	-0.31653	-0.21621	0.067481	0.062475	-0.031722	-0.077784	0.0042162	-1.0585	-0.12156	0.19482	0.15768	1.5434	-0.36158	-0.073267	0.23625	-0.13273	-0.30379	0.62174	-0.26689	0.11792	-0.37683	-0.13025	-0.29745	-0.12859	-0.71575	-0.024328	0.33605	-0.2495	0.82223	0.33875	0.25935	0.82169	-0.11602	-0.13854	-0.50997	"TCGA-13-0886-01A"	0.19601	0.075534	-0.40631	-0.12033	-0.38676	1.234	0.10948	-0.56341	0.032485	0.055452	-0.25576
