"Sample_ID"	"ACVRL1"	"AR"	"ARID1A"	"ASNS"	"ATM"	"AXL"	"BAX"	"BCL2"	"BCL2A1"	"BID"	"BRAF"	"BRCA2"	"CDK1"	"DUSP4"	"DVL3"	"EEF2"	"EEF2K"	"EGFR"	"EIF4E"	"ENY2"	"ERCC1"	"ERCC5"	"ETS1"	"FASN"	"FOXM1"	"G6PD"	"GAB2"	"GAPDH"	"GATA3"	"INPP4B"	"IRF1"	"IRS1"	"JAK2"	"LCK"	"MSH2"	"MTOR"	"MYH11"	"NF2"	"NOTCH1"	"NRAS"	"PARP1"	"PCNA"	"PDCD4"	"PDK1"	"PEA15"	"PRDX1"	"PREX1"	"PTEN"	"RAD50"	"RAD51"	"RICTOR"	"Sample_ID.1"	"SLC1A5"	"SMAD1"	"SMAD3"	"SMAD4"	"SRC"	"SYK"	"TAZ"	"TFRC"	"TSC1"	"XBP1"	"XRCC1"
"TCGA-29-1695-01A"	"16.138832875803374"	"17.239988447700263"	"19.674862010479554"	"17.584231371555692"	"15.131601450916692"	"17.321565776817952"	"18.605908931297314"	"15.532884564764853"	"16.788201534900853"	"17.574341129140354"	"16.746148130680787"	"14.614467837131205"	"18.441177300185622"	"14.400733391951485"	"20.24952609476635"	"22.482113668481983"	"17.852581069572867"	"13.548734431332417"	"15.366876013210739"	"17.752985277811536"	"18.101217846198143"	"15.675272574871508"	"17.033697791950843"	"20.737062774521977"	"20.06469588174052"	"18.3261570086862"	"18.421719840246645"	"25.411184299410415"	"14.739491638905575"	"13.200299479711525"	"17.867253982504245"	"14.84369733838309"	"14.895452615214952"	"14.834450503284852"	"17.600197431820867"	"17.667816159639433"	"14.871646277888015"	"17.385321827171108"	"16.67307434587811"	"18.920252649505244"	"20.14119707721944"	"21.65514348184444"	"18.677134530809834"	"16.21295619839503"	"22.5823683230719"	"22.1191496497148"	"17.558972327676944"	"18.358632341122725"	"16.61418461768924"	"16.704289015682654"	"15.5950594355393"	"TCGA-29-1695-01A"	"19.717785799837245"	"16.769441236311692"	"15.671425800655612"	"17.32645887468565"	"17.41416090389396"	"19.29256551838996"	"15.94937396651914"	"20.341907070842932"	"16.05335746920363"	"0.0"	"17.93096839834966"
"TCGA-61-2003-01A"	"15.909402875688869"	"16.05289292936723"	"18.738210819899187"	"16.871467959534744"	"14.861118366919051"	"18.06980772006223"	"18.122917270739226"	"15.006381718612268"	"15.607818205367101"	"17.700974611151928"	"16.315592515706527"	"13.746025804522244"	"17.652513972159554"	"15.483196598560454"	"20.324547041981514"	"23.75807429668669"	"17.113408095172726"	"18.028276795854648"	"14.879853559642504"	"17.099382074414503"	"17.583282053734788"	"15.477955056309396"	"17.85576570886657"	"19.0462912909109"	"18.145302431306735"	"18.804388984133972"	"17.849581157920937"	"24.135601341935416"	"14.020547245397255"	"14.024633800302555"	"17.63019443254216"	"16.61563887051151"	"15.342283336762053"	"15.384947322434785"	"17.752598545954857"	"17.585006435835336"	"18.09009097038729"	"17.016405706789783"	"18.393777022433294"	"19.932990497766994"	"19.65744238067431"	"20.40928906354419"	"18.205361784304728"	"14.988953592853981"	"23.415903786770492"	"21.090951266361696"	"18.54228331965228"	"17.621635981720004"	"16.7252927962819"	"15.849726794149579"	"15.203634527648292"	"TCGA-61-2003-01A"	"18.63450357571426"	"16.33193185817195"	"16.68358213121029"	"16.818330620851516"	"17.847575948130736"	"17.743459007799704"	"16.84988950259921"	"16.568409732951775"	"16.250321398227392"	"0.0"	"17.808107105460355"
"TCGA-13-1404-01A"	"15.55219187125675"	"14.930857853670814"	"19.11396228142941"	"17.928945792277055"	"15.040994989031304"	"17.45878559479971"	"18.10472757350966"	"15.363190995644853"	"15.749432425295211"	"16.857117074601554"	"15.96930514600794"	"14.20113194315537"	"19.112681973985154"	"14.641513824183289"	"19.844575891074236"	"23.38398111224468"	"16.704263484541208"	"16.056499487706493"	"15.301246071791905"	"18.554498491452836"	"17.74199556259457"	"16.41504248804389"	"16.664172937652467"	"19.19211164245064"	"19.044461949649236"	"18.593119063177824"	"19.37034473137464"	"25.144590653481615"	"14.002455792931386"	"12.16414730265237"	"17.863323399375"	"15.828038211561353"	"14.739643917966722"	"14.133074394938223"	"18.232879552780698"	"15.989872173841771"	"13.646269186300392"	"16.681173206550927"	"17.00674009908697"	"18.583743635787314"	"19.01609131294999"	"20.920838305460865"	"17.999467676108978"	"15.4754506146556"	"21.736920985312754"	"21.567539894807627"	"16.650621875106957"	"18.36017319124278"	"16.930124252674645"	"16.574140306747616"	"15.861698535515472"	"TCGA-13-1404-01A"	"20.186420850956672"	"15.882618697299327"	"16.674536804757793"	"17.238441234651546"	"17.128592677637968"	"19.202219914669673"	"17.144753919336573"	"20.401892340787978"	"16.778914257759766"	"0.0"	"18.24313390992646"
"TCGA-61-2088-01A"	"14.916638224049441"	"17.735866000130347"	"20.476200744464236"	"16.16777588845207"	"16.47520278375093"	"17.344520977722926"	"18.333615359521207"	"18.93187805301168"	"13.277490932154668"	"16.07864174888872"	"16.711712510260252"	"12.729564940248876"	"16.43109409673833"	"15.160624346359679"	"20.0477561715399"	"22.687512746977873"	"16.96154326999285"	"14.72296164939381"	"15.109709564092086"	"17.436635983242653"	"17.418313799507622"	"14.901114713422041"	"14.972043957227996"	"20.16982044495768"	"17.938647302110063"	"18.281363435632255"	"18.08875786730269"	"23.24277932492245"	"16.78605436894214"	"11.707028204760949"	"16.868221829570434"	"17.155796242752725"	"14.723824211638666"	"13.661044870168125"	"17.64151811996689"	"17.467974543156885"	"14.210072915184808"	"16.2794937902216"	"19.117515121131003"	"18.257634281889526"	"19.020912255604863"	"18.418465290873016"	"18.67316090241498"	"15.331339606400666"	"21.81188411626209"	"21.22883629402117"	"18.292271294016995"	"16.678925274913123"	"16.350265371072656"	"15.743772810112334"	"15.841460335113114"	"TCGA-61-2088-01A"	"19.72600898425194"	"14.947910182766694"	"17.53059731195213"	"16.283773857727592"	"19.238738592097086"	"18.65176204671529"	"17.570655447885187"	"16.78209848246082"	"17.865013697245576"	"0.0"	"18.694806357696972"
"TCGA-23-1123-01A"	"15.093424875705251"	"15.219357364409598"	"19.828932777520265"	"17.36892652948447"	"14.98814390883259"	"18.33963939978712"	"18.608503284068906"	"15.903332793260438"	"15.756341657025551"	"16.785484405172763"	"15.650642845018599"	"13.809491793053354"	"18.25641311901373"	"13.963453065408297"	"19.671164049196026"	"22.866336460587252"	"16.73230100161147"	"15.531220337990236"	"15.79004407344834"	"17.539451364329167"	"17.018737989071152"	"15.679122359889716"	"16.145798811619915"	"18.966524175735653"	"18.908471208858586"	"18.256066212140702"	"17.92981238843604"	"23.994539133106514"	"14.01717106807113"	"12.237498134436224"	"18.144152991349216"	"16.746404556621385"	"15.649086138930283"	"16.314381920037462"	"18.289903440761908"	"17.52713340605601"	"12.422382843832752"	"17.32589908899031"	"19.140109690296814"	"19.282540672166807"	"19.605990271786872"	"21.754278285617712"	"17.90402164304076"	"15.404989455303241"	"22.536597722909356"	"21.355824026007234"	"18.666962109922334"	"16.671757765417222"	"16.54972738199001"	"16.3505770806913"	"14.91140223001961"	"TCGA-23-1123-01A"	"19.390553311582035"	"16.62617131294127"	"16.828179108437784"	"16.218705599156262"	"18.600949729237218"	"19.103780655941648"	"16.63731782145921"	"17.102502463383548"	"17.172678236020108"	"0.0"	"17.56003831795374"
"TCGA-61-2009-01A"	"16.338581559100557"	"12.873765314009521"	"18.181302218190748"	"17.373229657487844"	"14.802760597735846"	"17.648025008884463"	"18.849448866059316"	"14.838693990717596"	"16.001871880550887"	"17.308549452376855"	"15.763633612170818"	"13.0346738665578"	"17.799186510340515"	"16.58203683322377"	"19.75901201943076"	"24.317059262974528"	"16.440505169612013"	"14.832590908984065"	"16.15526350975746"	"18.07230843372049"	"18.42552003448846"	"14.637507396536911"	"17.06473049960131"	"18.635464145157673"	"17.574259606596257"	"18.648584537934575"	"18.89196890922935"	"25.13443415975298"	"15.9250793502421"	"13.328593234049041"	"17.0992000956963"	"15.451817503472887"	"14.526224971240989"	"14.822754986278348"	"17.670164097744106"	"16.42957199259144"	"11.482223011085397"	"16.73087559237073"	"17.064502919505973"	"19.082105862322752"	"18.59489736644879"	"21.41159784596483"	"17.32069775362086"	"15.090677673666702"	"22.267188446781"	"21.494030790133845"	"17.16281545983983"	"17.47751665354399"	"17.322423176408705"	"16.051228419885817"	"15.452654927042703"	"TCGA-61-2009-01A"	"19.466676272080413"	"16.262548104828703"	"15.96468466396736"	"16.75984418845133"	"17.57534462583297"	"16.408437335598943"	"16.97376242835122"	"21.092002654172553"	"15.707728201768663"	"0.0"	"18.130936524401374"
"TCGA-24-1417-01A"	"16.17768608242404"	"16.21641802727514"	"18.444742946800602"	"18.08022693469305"	"15.092132897762534"	"17.9840833977605"	"18.760665835288314"	"14.569225332732184"	"15.904861836103557"	"16.602118656692163"	"16.77655746295731"	"13.594696476709164"	"19.142799813943146"	"15.028127167363863"	"20.006787181469946"	"23.330913394245247"	"17.68533913479911"	"16.45035319403431"	"15.38956621525304"	"18.319728004612813"	"18.188403069520337"	"15.037288230419357"	"17.77054721754078"	"18.89559215512532"	"18.375689036775015"	"18.96553984144778"	"18.862862320781595"	"24.098279303024082"	"14.771322513639157"	"15.585819954830779"	"19.236454631573963"	"16.120766734749182"	"17.56351809060802"	"15.736137347284084"	"18.42150263787549"	"17.30704159187302"	"13.319534716595715"	"17.073221818089454"	"17.67315799873356"	"19.304403615351166"	"19.305841823371498"	"19.55451998729406"	"18.05659017459679"	"15.547316444897932"	"22.473475185100337"	"21.47985342498066"	"17.48646538225273"	"17.73363637720709"	"17.675953237491655"	"16.75500803566078"	"15.77372879314541"	"TCGA-24-1417-01A"	"20.021291360663497"	"17.457926442317365"	"16.580448087508646"	"17.058897824309668"	"17.292001542943574"	"18.313533237270487"	"16.47927186713312"	"20.40178274626097"	"15.975646260336129"	"0.0"	"18.669258053176172"
"TCGA-29-1710-01A"	"16.007539045620092"	"15.396955412763715"	"19.847927620104187"	"16.29059860386341"	"14.927472756145981"	"18.660627670126598"	"18.342717198742324"	"14.817742544616593"	"15.669323624030245"	"17.473668410302757"	"16.161102990643876"	"13.126410425044503"	"16.299142815769592"	"15.078780856940222"	"20.750544867970717"	"22.94271674080523"	"17.60965953174257"	"18.513445049420834"	"15.329995293849047"	"16.908837094143554"	"17.843896713540055"	"15.889064303543616"	"17.65285760691024"	"17.752755523320552"	"17.567454943202293"	"18.941554642376147"	"17.861485583290932"	"24.603479535692365"	"15.248931717034559"	"15.5792781410414"	"18.594490523982866"	"15.172118493722978"	"15.639036554417823"	"16.89289977076744"	"17.540067946991478"	"18.0700641922828"	"13.864855155463406"	"16.896024935737465"	"17.59874440156907"	"19.13862314378779"	"19.615119496545972"	"20.216700518456488"	"19.261726506511803"	"15.574309655725257"	"22.19957383897301"	"21.445542091614303"	"18.319187840170002"	"18.11899448174743"	"16.710025510309563"	"15.31493007814409"	"15.446650497169596"	"TCGA-29-1710-01A"	"17.794476690826666"	"17.23762021359691"	"16.49954202427573"	"17.227693921891632"	"17.042088513641275"	"18.080787719991136"	"17.116092446274"	"19.53931618193589"	"16.03601289838803"	"0.0"	"17.36629367595967"
"TCGA-36-1571-01A"	"14.731108297029305"	"17.174766547663314"	"19.611574499376044"	"18.38551880885447"	"15.207185073207603"	"15.627910267514286"	"17.420127319079562"	"15.462216994498263"	"12.863011748923146"	"14.699901156540657"	"16.104722207929836"	"14.377771515590283"	"18.69549633970714"	"12.39801811458955"	"19.36453686306568"	"24.0601288924004"	"16.87830314932105"	"16.183717710104734"	"15.372300527207098"	"17.55451389013252"	"18.154178903568546"	"14.782522895825075"	"16.137959952487932"	"20.00900799688997"	"20.173185904066337"	"18.307942345529025"	"18.57625277963411"	"26.50242970969309"	"13.683567717644408"	"12.321895153523045"	"17.31399033573109"	"16.431111429002144"	"13.696677829157162"	"12.454771151897429"	"19.098847894554957"	"18.149783362238047"	"12.759247283948667"	"16.574748778205645"	"17.991224051175628"	"19.14115319022197"	"19.510901826016052"	"20.84148590485196"	"19.2699194957762"	"16.253593082824246"	"22.042871045909685"	"21.386252836459285"	"18.630240189023173"	"17.842817097117198"	"17.612068972915797"	"17.325064908544626"	"15.457764573388664"	"TCGA-36-1571-01A"	"20.14247483401997"	"16.629676031691638"	"17.662516028137834"	"17.096161948000475"	"17.958578946432137"	"18.471288641553656"	"15.816551520867664"	"18.524764976475673"	"16.125461955097478"	"0.0"	"18.37022481546009"
"TCGA-29-1694-01A"	"15.905774775101857"	"14.97643258791473"	"18.83969609946291"	"16.631019599413516"	"14.950784057619044"	"17.12373791870592"	"17.814018374784915"	"15.122901668131556"	"15.897714660822949"	"17.770975786718726"	"15.978487918827057"	"13.368816673311224"	"17.585038287146233"	"17.08544098151473"	"19.337237338067265"	"25.3365987351586"	"17.844339976256013"	"17.468265134504204"	"16.05285503817929"	"17.75805713797722"	"17.533329660603062"	"15.646745542718504"	"17.43304676772476"	"19.324333807824786"	"17.767834914972045"	"18.345575784650087"	"18.28233027059484"	"25.063801649483054"	"14.620250071552043"	"15.545368254232857"	"17.7004480720278"	"16.711972859423955"	"14.912287823250034"	"13.994896298903713"	"17.136166502459584"	"17.36173835891723"	"15.788800407131546"	"16.897465377525766"	"17.147062564165864"	"18.380936353710652"	"18.938869348354398"	"19.949814292943326"	"17.79108503874699"	"14.94514468675476"	"22.782781697255125"	"21.38198756392371"	"16.8522399280375"	"18.114508756443154"	"16.515923957273483"	"15.766847190961652"	"15.35238880616015"	"TCGA-29-1694-01A"	"19.507738388637783"	"16.978052792439243"	"17.75124308509525"	"16.162546466096146"	"17.678750600305218"	"18.223808927012694"	"16.84269478064099"	"19.946970343956856"	"16.491920436659875"	"0.0"	"17.455424049105016"
